id,date,workout,duration,distance,pace,category,user_id
358,2017-12-24,Running,39,8.23,4.44,cardio,1
359,2017-12-25,Rest,0,0.0,0.0,rest,1
360,2017-12-26,Rest,0,0.0,0.0,rest,1
361,2017-12-27,Compound,43,0.0,0.0,compound,1
362,2017-12-28,Rest,0,0.0,0.0,rest,1
363,2017-12-29,Rest,0,0.0,0.0,rest,1
364,2017-12-30,Rest,0,0.0,0.0,rest,1
365,2017-12-31,Rest,0,0.0,0.0,rest,1
366,2018-01-01,Rest,0,0.0,0.0,rest,1
367,2018-01-02,Multisport,41,0.0,0.0,compound,1
368,2018-01-03,Multisport,40,0.0,0.0,compound,1
369,2018-01-04,Multisport,41,0.0,0.0,compound,1
370,2018-01-05,Rest,0,0.0,0.0,rest,1
371,2018-01-06,Rest,0,0.0,0.0,rest,1
372,2018-01-07,Legs,26,0.0,0.0,legs,1
373,2018-01-08,Chest,25,0.0,0.0,chest,1
374,2018-01-09,Back,28,0.0,0.0,back,1
375,2018-01-10,Rest,0,0.0,0.0,rest,1
376,2018-01-11,Legs,23,0.0,0.0,legs,1
377,2018-01-12,Chest,28,0.0,0.0,chest,1
378,2018-01-13,Back,28,0.0,0.0,back,1
379,2018-01-14,Rest,0,0.0,0.0,rest,1
380,2018-01-15,Rest,0,0.0,0.0,rest,1
381,2018-01-16,Rest,0,0.0,0.0,rest,1
382,2018-01-17,Rest,0,0.0,0.0,rest,1
383,2018-01-18,Chest,37,0.0,0.0,chest,1
384,2018-01-19,Back,32,0.0,0.0,back,1
385,2018-01-20,Legs,27,0.0,0.0,legs,1
386,2018-01-21,Chest,31,0.0,0.0,chest,1
387,2018-01-22,Back,27,0.0,0.0,back,1
388,2018-01-23,Legs,26,0.0,0.0,legs,1
389,2018-01-24,Chest,29,0.0,0.0,chest,1
390,2018-01-25,Back,32,0.0,0.0,back,1
391,2018-01-26,Legs,35,0.0,0.0,legs,1
392,2018-01-27,Chest,33,0.0,0.0,chest,1
393,2018-01-28,Back,35,0.0,0.0,back,1
394,2018-01-29,Legs,34,0.0,0.0,legs,1
395,2018-01-30,Rest,0,0.0,0.0,rest,1
396,2018-01-31,Chest,34,0.0,0.0,chest,1
397,2018-02-01,Back,31,0.0,0.0,back,1
398,2018-02-02,Legs,31,0.0,0.0,legs,1
399,2018-02-03,Chest,25,0.0,0.0,chest,1
400,2018-02-04,Back,29,0.0,0.0,back,1
401,2018-02-05,Legs,28,0.0,0.0,legs,1
402,2018-02-06,Rest,0,0.0,0.0,rest,1
403,2018-02-07,Chest,32,0.0,0.0,chest,1
404,2018-02-08,Back,29,0.0,0.0,back,1
405,2018-02-09,Running,31,6.25,4.58,cardio,1
406,2018-02-10,Chest,33,0.0,0.0,chest,1
407,2018-02-11,Back,31,0.0,0.0,back,1
408,2018-02-12,Legs,28,0.0,0.0,legs,1
409,2018-02-13,Chest,31,0.0,0.0,chest,1
410,2018-02-14,Back,30,0.0,0.0,back,1
411,2018-02-15,Rest,0,0.0,0.0,rest,1
412,2018-02-16,Running,33,6.57,5.01,cardio,1
413,2018-02-17,Chest,35,0.0,0.0,chest,1
414,2018-02-18,Back,30,0.0,0.0,back,1
415,2018-02-19,Legs,29,0.0,0.0,legs,1
416,2018-02-20,Running,34,6.86,4.57,cardio,1
417,2018-02-21,Chest,33,0.0,0.0,chest,1
418,2018-02-22,Back,26,0.0,0.0,back,1
419,2018-02-23,Running,33,6.67,4.57,cardio,1
420,2018-02-24,Chest,31,0.0,0.0,chest,1
421,2018-02-25,Back,29,0.0,0.0,back,1
422,2018-02-26,Legs,28,0.0,0.0,legs,1
423,2018-02-27,Rest,0,0.0,0.0,rest,1
424,2018-02-28,Chest,29,0.0,0.0,chest,1
425,2018-03-01,Back,30,0.0,0.0,back,1
426,2018-03-02,Rest,0,0.0,0.0,rest,1
427,2018-03-03,Chest,33,0.0,0.0,chest,1
428,2018-03-04,Back,30,0.0,0.0,back,1
429,2018-03-05,Legs,25,0.0,0.0,legs,1
430,2018-03-06,Rest,0,0.0,0.0,rest,1
431,2018-03-07,Chest,30,0.0,0.0,chest,1
432,2018-03-08,Back,29,0.0,0.0,back,1
433,2018-03-09,Running,33,6.67,4.57,cardio,1
434,2018-03-10,Chest,33,0.0,0.0,chest,1
435,2018-03-11,Back,29,0.0,0.0,back,1
436,2018-03-12,Legs,26,0.0,0.0,legs,1
437,2018-03-13,Running,39,7.82,4.59,cardio,1
438,2018-03-14,Chest,31,0.0,0.0,chest,1
439,2018-03-15,Back,31,0.0,0.0,back,1
440,2018-03-16,Running,41,8.04,5.06,cardio,1
441,2018-03-17,Compound,35,0.0,0.0,compound,1
442,2018-03-18,Legs,26,0.0,0.0,legs,1
443,2018-03-19,Running,39,7.73,5.03,cardio,1
444,2018-03-20,Chest,32,0.0,0.0,chest,1
445,2018-03-21,Back,28,0.0,0.0,back,1
446,2018-03-22,Running,44,8.88,4.57,cardio,1
447,2018-03-23,Chest,31,0.0,0.0,chest,1
448,2018-03-24,Back,36,0.0,0.0,back,1
449,2018-03-25,Legs,26,0.0,0.0,legs,1
450,2018-03-26,Running,43,8.67,4.58,cardio,1
451,2018-03-27,Chest,33,0.0,0.0,chest,1
452,2018-03-28,Back,31,0.0,0.0,back,1
453,2018-03-29,Rest,0,0.0,0.0,rest,1
454,2018-03-30,Multisport,37,0.0,0.0,compound,1
455,2018-03-31,Multisport,51,0.0,0.0,compound,1
456,2018-04-01,Multisport,43,0.0,0.0,compound,1
457,2018-04-02,Rest,0,0.0,0.0,rest,1
458,2018-04-03,Multisport,42,0.0,0.0,compound,1
459,2018-04-04,Compound,40,0.0,0.0,compound,1
460,2018-04-05,Rest,0,0.0,0.0,rest,1
461,2018-04-06,Multisport,44,0.0,0.0,compound,1
462,2018-04-07,Multisport,45,0.0,0.0,compound,1
463,2018-04-08,Multisport,47,0.0,0.0,compound,1
464,2018-04-09,Multisport,42,0.0,0.0,compound,1
